date,product_id,supplier_id,warehouse_id,region,demand,inventory_level,units_sold,units_ordered,lead_time_actual,defect_rate,shipping_cost,stockout,category,unit_cost,lead_time_days,reorder_point,safety_stock,reliability_score,revenue,stockout_cost,holding_cost,day_of_week,month,quarter,year,is_weekend,late_delivery
2022-01-11,P001,S06,WH4,East,154,0,0,122,15,0.0029,47.4,1,Grocery,307.77,28,53,59,0.73,0.0,71094.87,0.0,1,1,1,2022,0,0
2022-01-12,P001,S06,WH4,East,143,0,0,185,13,0.0209,139.43,1,Grocery,307.77,28,53,59,0.73,0.0,66016.66500000001,0.0,2,1,1,2022,0,0
2022-01-13,P001,S06,WH4,North,126,0,0,2,14,0.0006,138.98,1,Grocery,307.77,28,53,59,0.73,0.0,58168.53,0.0,3,1,1,2022,0,0
2022-01-14,P001,S06,WH4,Central,147,0,0,132,10,0.1075,69.7,1,Grocery,307.77,28,53,59,0.73,0.0,67863.28499999999,0.0,4,1,1,2022,0,0
2022-01-15,P001,S06,WH4,West,139,346,139,68,1,0.0151,79.68,0,Grocery,307.77,28,53,59,0.73,42780.03,0.0,21.297684,5,1,1,2022,1,0
2022-01-16,P001,S06,WH4,North,157,189,157,276,24,0.0655,52.38,0,Grocery,307.77,28,53,59,0.73,48319.89,0.0,11.633706,6,1,1,2022,1,0
2022-01-17,P001,S06,WH4,South,124,65,65,176,16,0.1012,61.95,1,Grocery,307.77,28,53,59,0.73,20005.05,27237.645,4.00101,0,1,1,2022,0,0
2022-01-18,P001,S06,WH4,East,131,0,0,108,22,0.034,71.97,1,Grocery,307.77,28,53,59,0.73,0.0,60476.80499999999,0.0,1,1,1,2022,0,0
2022-01-19,P001,S06,WH4,North,130,0,0,213,9,0.0084,30.99,1,Grocery,307.77,28,53,59,0.73,0.0,60015.149999999994,0.0,2,1,1,2022,0,0
2022-01-20,P001,S06,WH4,West,109,0,0,111,23,0.0243,119.47,1,Grocery,307.77,28,53,59,0.73,0.0,50320.395000000004,0.0,3,1,1,2022,0,0
2022-01-21,P001,S06,WH4,North,145,0,0,208,32,0.0932,56.37,1,Grocery,307.77,28,53,59,0.73,0.0,66939.97499999999,0.0,4,1,1,2022,0,1
2022-01-22,P001,S06,WH4,West,144,0,0,114,34,0.0496,61.7,1,Grocery,307.77,28,53,59,0.73,0.0,66478.31999999999,0.0,5,1,1,2022,1,1
2022-01-23,P001,S06,WH4,East,140,266,140,117,15,0.0581,148.01,0,Grocery,307.77,28,53,59,0.73,43087.799999999996,0.0,16.373364,6,1,1,2022,1,0
2022-01-24,P001,S06,WH4,North,135,131,131,174,33,0.0188,29.9,1,Grocery,307.77,28,53,59,0.73,40317.869999999995,1846.62,8.063574,0,1,1,2022,0,1
2022-01-25,P001,S06,WH4,South,112,19,19,140,1,0.0445,21.73,1,Grocery,307.77,28,53,59,0.73,5847.629999999999,42933.91499999999,1.1695259999999998,1,1,1,2022,0,0
2022-01-26,P001,S06,WH4,North,132,0,0,244,29,0.0285,115.9,1,Grocery,307.77,28,53,59,0.73,0.0,60938.46,0.0,2,1,1,2022,0,1
2022-01-27,P001,S06,WH4,East,134,0,0,6,1,0.0009,15.01,1,Grocery,307.77,28,53,59,0.73,0.0,61861.770000000004,0.0,3,1,1,2022,0,0
2022-01-28,P001,S06,WH4,Central,125,0,0,206,29,0.0612,109.9,1,Grocery,307.77,28,53,59,0.73,0.0,57706.875,0.0,4,1,1,2022,0,1
2022-01-29,P001,S06,WH4,North,138,0,0,92,22,0.0728,53.38,1,Grocery,307.77,28,53,59,0.73,0.0,63708.38999999999,0.0,5,1,1,2022,1,0
2022-01-30,P001,S06,WH4,North,150,340,150,198,14,0.038,6.94,0,Grocery,307.77,28,53,59,0.73,46165.5,0.0,20.928359999999998,6,1,1,2022,1,0
2022-01-31,P001,S06,WH4,North,179,161,161,231,18,0.0832,14.71,1,Grocery,307.77,28,53,59,0.73,49550.969999999994,8309.789999999999,9.910193999999999,0,1,1,2022,0,0
2022-02-01,P001,S06,WH4,West,146,15,15,238,15,0.004,121.55,1,Grocery,307.77,28,53,59,0.73,4616.549999999999,60476.80499999999,0.9233099999999999,1,2,1,2022,0,0
2022-02-02,P001,S06,WH4,West,147,0,0,220,29,0.0279,110.74,1,Grocery,307.77,28,53,59,0.73,0.0,67863.28499999999,0.0,2,2,1,2022,0,1
2022-02-03,P001,S06,WH4,East,141,0,0,61,4,0.0254,6.21,1,Grocery,307.77,28,53,59,0.73,0.0,65093.354999999996,0.0,3,2,1,2022,0,0
2022-02-04,P001,S06,WH4,East,105,0,0,61,9,0.0002,117.06,1,Grocery,307.77,28,53,59,0.73,0.0,48473.774999999994,0.0,4,2,1,2022,0,0
2022-02-05,P001,S06,WH4,North,143,0,0,135,9,0.0368,80.11,1,Grocery,307.77,28,53,59,0.73,0.0,66016.66500000001,0.0,5,2,1,2022,1,0
2022-02-06,P001,S06,WH4,North,145,334,145,210,29,0.0205,55.31,0,Grocery,307.77,28,53,59,0.73,44626.649999999994,0.0,20.559036,6,2,1,2022,1,1
2022-02-07,P001,S06,WH4,Central,193,141,141,214,31,0.0375,96.7,1,Grocery,307.77,28,53,59,0.73,43395.57,24006.059999999998,8.679114,0,2,1,2022,0,1
2022-02-08,P001,S06,WH4,South,140,1,1,169,13,0.0559,90.33,1,Grocery,307.77,28,53,59,0.73,307.77,64170.045,0.061554,1,2,1,2022,0,0
2022-02-09,P001,S06,WH4,North,150,0,0,39,2,0.0273,16.16,1,Grocery,307.77,28,53,59,0.73,0.0,69248.25,0.0,2,2,1,2022,0,0
2022-02-10,P001,S06,WH4,South,144,0,0,177,12,0.0239,143.98,1,Grocery,307.77,28,53,59,0.73,0.0,66478.31999999999,0.0,3,2,1,2022,0,0
2022-02-11,P001,S06,WH4,North,121,0,0,61,3,0.1665,32.68,1,Grocery,307.77,28,53,59,0.73,0.0,55860.255,0.0,4,2,1,2022,0,0
2022-02-12,P001,S06,WH4,South,168,0,0,109,13,0.0408,14.16,1,Grocery,307.77,28,53,59,0.73,0.0,77558.04000000001,0.0,5,2,1,2022,1,0
2022-02-13,P001,S06,WH4,Central,160,258,160,206,4,0.0261,36.5,0,Grocery,307.77,28,53,59,0.73,49243.2,0.0,15.880931999999998,6,2,1,2022,1,0
2022-02-14,P001,S06,WH4,Central,161,97,97,62,22,0.0015,40.29,1,Grocery,307.77,28,53,59,0.73,29853.69,29545.92,5.970738,0,2,1,2022,0,0
2022-02-15,P001,S06,WH4,Central,127,0,0,119,6,0.0273,68.28,1,Grocery,307.77,28,53,59,0.73,0.0,58630.185,0.0,1,2,1,2022,0,0
2022-02-16,P001,S06,WH4,Central,174,0,0,229,18,0.1176,88.62,1,Grocery,307.77,28,53,59,0.73,0.0,80327.97,0.0,2,2,1,2022,0,0
2022-02-17,P001,S06,WH4,East,118,0,0,275,12,0.0167,149.66,1,Grocery,307.77,28,53,59,0.73,0.0,54475.29,0.0,3,2,1,2022,0,0
2022-02-18,P001,S06,WH4,East,158,0,0,142,16,0.023,8.25,1,Grocery,307.77,28,53,59,0.73,0.0,72941.48999999999,0.0,4,2,1,2022,0,0
2022-02-19,P001,S06,WH4,East,190,330,190,290,22,0.0006,10.65,0,Grocery,307.77,28,53,59,0.73,58476.299999999996,0.0,20.31282,5,2,1,2022,1,0
2022-02-20,P001,S06,WH4,East,127,203,127,2,16,0.0201,61.64,0,Grocery,307.77,28,53,59,0.73,39086.79,0.0,12.495462,6,2,1,2022,1,0
2022-02-21,P001,S06,WH4,West,136,67,67,60,29,0.0471,38.19,1,Grocery,307.77,28,53,59,0.73,20620.59,31854.194999999996,4.124118,0,2,1,2022,0,1
2022-02-22,P001,S06,WH4,East,149,0,0,138,34,0.0233,35.69,1,Grocery,307.77,28,53,59,0.73,0.0,68786.595,0.0,1,2,1,2022,0,1
2022-02-23,P001,S06,WH4,East,137,0,0,148,12,0.0344,78.08,1,Grocery,307.77,28,53,59,0.73,0.0,63246.735,0.0,2,2,1,2022,0,0
2022-02-24,P001,S06,WH4,East,117,0,0,188,18,0.0176,20.96,1,Grocery,307.77,28,53,59,0.73,0.0,54013.634999999995,0.0,3,2,1,2022,0,0
2022-02-25,P001,S06,WH4,East,149,0,0,276,5,0.0027,85.43,1,Grocery,307.77,28,53,59,0.73,0.0,68786.595,0.0,4,2,1,2022,0,0
2022-02-26,P001,S06,WH4,North,127,0,0,63,7,0.0439,107.25,1,Grocery,307.77,28,53,59,0.73,0.0,58630.185,0.0,5,2,1,2022,1,0
2022-02-27,P001,S06,WH4,South,157,231,157,208,29,0.127,29.86,0,Grocery,307.77,28,53,59,0.73,48319.89,0.0,14.218974,6,2,1,2022,1,1
2022-02-28,P001,S06,WH4,West,130,101,101,295,20,0.153,75.83,1,Grocery,307.77,28,53,59,0.73,31084.769999999997,13387.994999999999,6.216953999999999,0,2,1,2022,0,0
2022-03-01,P001,S06,WH4,Central,179,0,0,292,2,0.0818,12.54,1,Grocery,307.77,28,53,59,0.73,0.0,82636.245,0.0,1,3,1,2022,0,0
2022-03-02,P001,S06,WH4,Central,133,0,0,295,26,0.0032,132.74,1,Grocery,307.77,28,53,59,0.73,0.0,61400.11499999999,0.0,2,3,1,2022,0,0
2022-03-03,P001,S06,WH4,East,142,0,0,6,16,0.095,46.55,1,Grocery,307.77,28,53,59,0.73,0.0,65555.01,0.0,3,3,1,2022,0,0
2022-03-04,P001,S06,WH4,North,165,0,0,178,20,0.0117,92.44,1,Grocery,307.77,28,53,59,0.73,0.0,76173.075,0.0,4,3,1,2022,0,0
2022-03-05,P001,S06,WH4,North,124,0,0,263,15,0.0906,146.42,1,Grocery,307.77,28,53,59,0.73,0.0,57245.219999999994,0.0,5,3,1,2022,1,0
2022-03-06,P001,S06,WH4,North,154,204,154,272,30,0.0203,119.46,0,Grocery,307.77,28,53,59,0.73,47396.579999999994,0.0,12.557015999999999,6,3,1,2022,1,1
2022-03-07,P001,S06,WH4,West,175,29,29,57,34,0.0325,147.87,1,Grocery,307.77,28,53,59,0.73,8925.33,67401.63,1.785066,0,3,1,2022,0,1
2022-03-08,P001,S06,WH4,North,117,0,0,295,8,0.034,120.75,1,Grocery,307.77,28,53,59,0.73,0.0,54013.634999999995,0.0,1,3,1,2022,0,0
2022-03-09,P001,S06,WH4,Central,153,0,0,55,10,0.0111,35.52,1,Grocery,307.77,28,53,59,0.73,0.0,70633.215,0.0,2,3,1,2022,0,0
2022-03-10,P001,S06,WH4,West,155,0,0,222,18,0.0271,27.46,1,Grocery,307.77,28,53,59,0.73,0.0,71556.525,0.0,3,3,1,2022,0,0
2022-03-11,P001,S06,WH4,South,165,0,0,30,11,0.0437,78.3,1,Grocery,307.77,28,53,59,0.73,0.0,76173.075,0.0,4,3,1,2022,0,0
2022-03-12,P001,S06,WH4,East,125,314,125,111,23,0.0041,49.44,0,Grocery,307.77,28,53,59,0.73,38471.25,0.0,19.327956,5,3,1,2022,1,0
2022-03-13,P001,S06,WH4,North,124,190,124,105,34,0.0269,117.67,0,Grocery,307.77,28,53,59,0.73,38163.479999999996,0.0,11.69526,6,3,1,2022,1,1
2022-03-14,P001,S06,WH4,South,160,30,30,270,15,0.027,148.47,1,Grocery,307.77,28,53,59,0.73,9233.099999999999,60015.149999999994,1.8466199999999997,0,3,1,2022,0,0
2022-03-15,P001,S06,WH4,North,156,0,0,39,20,0.0015,86.14,1,Grocery,307.77,28,53,59,0.73,0.0,72018.18,0.0,1,3,1,2022,0,0
2022-03-16,P001,S06,WH4,East,155,0,0,248,18,0.0044,65.34,1,Grocery,307.77,28,53,59,0.73,0.0,71556.525,0.0,2,3,1,2022,0,0
2022-03-17,P001,S06,WH4,Central,157,0,0,228,6,0.0442,38.32,1,Grocery,307.77,28,53,59,0.73,0.0,72479.83499999999,0.0,3,3,1,2022,0,0
2022-03-18,P001,S06,WH4,North,137,0,0,159,28,0.0053,76.16,1,Grocery,307.77,28,53,59,0.73,0.0,63246.735,0.0,4,3,1,2022,0,0
2022-03-19,P001,S06,WH4,South,155,270,155,207,22,0.0327,118.92,0,Grocery,307.77,28,53,59,0.73,47704.35,0.0,16.61958,5,3,1,2022,1,0
2022-03-20,P001,S06,WH4,East,156,114,114,255,12,0.0263,120.41,1,Grocery,307.77,28,53,59,0.73,35085.78,19389.510000000002,7.017156,6,3,1,2022,1,0
2022-03-21,P001,S06,WH4,West,136,0,0,126,31,0.0134,5.09,1,Grocery,307.77,28,53,59,0.73,0.0,62785.08,0.0,0,3,1,2022,0,1
2022-03-22,P001,S06,WH4,South,188,0,0,113,20,0.0209,43.48,1,Grocery,307.77,28,53,59,0.73,0.0,86791.13999999998,0.0,1,3,1,2022,0,0
2022-03-23,P001,S06,WH4,North,160,0,0,272,24,0.0404,136.72,1,Grocery,307.77,28,53,59,0.73,0.0,73864.79999999999,0.0,2,3,1,2022,0,0
2022-03-24,P001,S06,WH4,Central,127,0,0,155,25,0.0671,115.26,1,Grocery,307.77,28,53,59,0.73,0.0,58630.185,0.0,3,3,1,2022,0,0
2022-03-25,P001,S06,WH4,North,164,339,164,285,13,0.0547,9.42,0,Grocery,307.77,28,53,59,0.73,50474.28,0.0,20.866806,4,3,1,2022,0,0
2022-03-26,P001,S06,WH4,Central,131,208,131,111,17,0.038,137.04,0,Grocery,307.77,28,53,59,0.73,40317.869999999995,0.0,12.803232,5,3,1,2022,1,0
2022-03-27,P001,S06,WH4,South,166,42,42,52,23,0.041,149.48,1,Grocery,307.77,28,53,59,0.73,12926.34,57245.219999999994,2.585268,6,3,1,2022,1,0
2022-03-28,P001,S06,WH4,West,174,0,0,226,11,0.0325,12.19,1,Grocery,307.77,28,53,59,0.73,0.0,80327.97,0.0,0,3,1,2022,0,0
2022-03-29,P001,S06,WH4,North,134,0,0,236,14,0.0937,13.05,1,Grocery,307.77,28,53,59,0.73,0.0,61861.770000000004,0.0,1,3,1,2022,0,0
2022-03-30,P001,S06,WH4,East,170,0,0,272,33,0.0098,87.04,1,Grocery,307.77,28,53,59,0.73,0.0,78481.34999999999,0.0,2,3,1,2022,0,1
2022-03-31,P001,S06,WH4,South,159,0,0,101,8,0.082,144.42,1,Grocery,307.77,28,53,59,0.73,0.0,73403.145,0.0,3,3,1,2022,0,0
2022-04-01,P001,S06,WH4,East,167,238,167,155,17,0.0668,47.87,0,Grocery,307.77,28,53,59,0.73,51397.59,0.0,14.649852,4,4,2,2022,0,0
2022-04-02,P001,S06,WH4,Central,472,0,0,243,4,0.0227,103.33,1,Grocery,307.77,28,53,59,0.73,0.0,217901.16,0.0,5,4,2,2022,1,0
2022-04-03,P001,S06,WH4,North,146,0,0,104,19,0.0162,16.45,1,Grocery,307.77,28,53,59,0.73,0.0,67401.63,0.0,6,4,2,2022,1,0
2022-04-04,P001,S06,WH4,East,136,0,0,283,1,0.0047,141.15,1,Grocery,307.77,28,53,59,0.73,0.0,62785.08,0.0,0,4,2,2022,0,0
2022-04-05,P001,S06,WH4,South,133,0,0,136,16,0.0564,54.51,1,Grocery,307.77,28,53,59,0.73,0.0,61400.11499999999,0.0,1,4,2,2022,0,0
2022-04-06,P001,S06,WH4,Central,134,217,134,24,34,0.01,30.69,0,Grocery,307.77,28,53,59,0.73,41241.18,0.0,13.357218,2,4,2,2022,0,1
2022-04-07,P001,S06,WH4,Central,149,68,68,194,27,0.0025,35.8,1,Grocery,307.77,28,53,59,0.73,20928.36,37394.055,4.185672,3,4,2,2022,0,0
2022-04-08,P001,S06,WH4,Central,157,0,0,43,26,0.0655,47.79,1,Grocery,307.77,28,53,59,0.73,0.0,72479.83499999999,0.0,4,4,2,2022,0,0
2022-04-09,P001,S06,WH4,North,156,0,0,245,25,0.0513,92.55,1,Grocery,307.77,28,53,59,0.73,0.0,72018.18,0.0,5,4,2,2022,1,0
2022-04-10,P001,S06,WH4,West,167,0,0,115,22,0.0122,142.74,1,Grocery,307.77,28,53,59,0.73,0.0,77096.385,0.0,6,4,2,2022,1,0
2022-04-11,P001,S06,WH4,West,151,0,0,24,21,0.043,56.49,1,Grocery,307.77,28,53,59,0.73,0.0,69709.905,0.0,0,4,2,2022,0,0
2022-04-12,P001,S06,WH4,East,179,258,179,111,23,0.0353,62.93,0,Grocery,307.77,28,53,59,0.73,55090.829999999994,0.0,15.880931999999998,1,4,2,2022,0,0
2022-04-13,P001,S06,WH4,North,145,113,113,179,8,0.0694,20.15,1,Grocery,307.77,28,53,59,0.73,34778.009999999995,14772.96,6.955601999999999,2,4,2,2022,0,0
2022-04-14,P001,S06,WH4,Central,204,0,0,180,29,0.0123,94.46,1,Grocery,307.77,28,53,59,0.73,0.0,94177.62,0.0,3,4,2,2022,0,1
2022-04-15,P001,S06,WH4,East,162,0,0,107,12,0.09,113.48,1,Grocery,307.77,28,53,59,0.73,0.0,74788.11,0.0,4,4,2,2022,0,0
2022-04-16,P001,S06,WH4,Central,133,0,0,219,30,0.0153,12.3,1,Grocery,307.77,28,53,59,0.73,0.0,61400.11499999999,0.0,5,4,2,2022,1,1
2022-04-17,P001,S06,WH4,West,128,0,0,75,1,0.0274,94.03,1,Grocery,307.77,28,53,59,0.73,0.0,59091.84,0.0,6,4,2,2022,1,0
2022-04-18,P001,S06,WH4,North,159,327,159,248,21,0.0722,85.81,0,Grocery,307.77,28,53,59,0.73,48935.43,0.0,20.128158,0,4,2,2022,0,0
2022-04-19,P001,S06,WH4,Central,145,182,145,144,17,0.0201,87.02,0,Grocery,307.77,28,53,59,0.73,44626.649999999994,0.0,11.202828,1,4,2,2022,0,0
2022-04-20,P001,S06,WH4,Central,164,18,18,142,27,0.0865,103.48,1,Grocery,307.77,28,53,59,0.73,5539.86,67401.63,1.107972,2,4,2,2022,0,0
2022-04-21,P001,S06,WH4,South,159,0,0,216,34,0.002,64.12,1,Grocery,307.77,28,53,59,0.73,0.0,73403.145,0.0,3,4,2,2022,0,1
2022-04-22,P001,S06,WH4,East,148,0,0,241,18,0.0237,117.17,1,Grocery,307.77,28,53,59,0.73,0.0,68324.94,0.0,4,4,2,2022,0,0
2022-04-23,P001,S06,WH4,West,132,0,0,99,32,0.146,51.35,1,Grocery,307.77,28,53,59,0.73,0.0,60938.46,0.0,5,4,2,2022,1,1
2022-04-24,P001,S06,WH4,Central,119,0,0,144,7,0.0158,102.99,1,Grocery,307.77,28,53,59,0.73,0.0,54936.94499999999,0.0,6,4,2,2022,1,0
2022-04-25,P001,S06,WH4,Central,140,320,140,238,4,0.0472,136.55,0,Grocery,307.77,28,53,59,0.73,43087.799999999996,0.0,19.69728,0,4,2,2022,0,0
2022-04-26,P001,S06,WH4,West,166,154,154,283,32,0.1338,111.07,1,Grocery,307.77,28,53,59,0.73,47396.579999999994,5539.86,9.479315999999999,1,4,2,2022,0,1
2022-04-27,P001,S06,WH4,North,153,1,1,44,2,0.0933,137.88,1,Grocery,307.77,28,53,59,0.73,307.77,70171.56,0.061554,2,4,2,2022,0,0
2022-04-28,P001,S06,WH4,South,123,0,0,124,16,0.0245,67.13,1,Grocery,307.77,28,53,59,0.73,0.0,56783.565,0.0,3,4,2,2022,0,0
2022-04-29,P001,S06,WH4,West,152,0,0,97,23,0.0604,127.48,1,Grocery,307.77,28,53,59,0.73,0.0,70171.56,0.0,4,4,2,2022,0,0
2022-04-30,P001,S06,WH4,West,156,0,0,3,29,0.0979,79.54,1,Grocery,307.77,28,53,59,0.73,0.0,72018.18,0.0,5,4,2,2022,1,1
2022-05-01,P001,S06,WH4,Central,130,0,0,201,20,0.0136,86.11,1,Grocery,307.77,28,53,59,0.73,0.0,60015.149999999994,0.0,6,5,2,2022,1,0
2022-05-02,P001,S06,WH4,South,151,289,151,138,17,0.0732,129.29,0,Grocery,307.77,28,53,59,0.73,46473.27,0.0,17.789106,0,5,2,2022,0,0
2022-05-03,P001,S06,WH4,East,149,140,140,21,1,0.0299,43.56,1,Grocery,307.77,28,53,59,0.73,43087.799999999996,4154.8949999999995,8.61756,1,5,2,2022,0,0
2022-05-04,P001,S06,WH4,East,124,16,16,2,9,0.0345,141.09,1,Grocery,307.77,28,53,59,0.73,4924.32,49858.73999999999,0.984864,2,5,2,2022,0,0
2022-05-05,P001,S06,WH4,South,154,0,0,82,5,0.0145,65.49,1,Grocery,307.77,28,53,59,0.73,0.0,71094.87,0.0,3,5,2,2022,0,0
2022-05-06,P001,S06,WH4,West,158,0,0,236,25,0.062,121.72,1,Grocery,307.77,28,53,59,0.73,0.0,72941.48999999999,0.0,4,5,2,2022,0,0
2022-05-07,P001,S06,WH4,North,168,0,0,115,34,0.0032,125.37,1,Grocery,307.77,28,53,59,0.73,0.0,77558.04000000001,0.0,5,5,2,2022,1,1
2022-05-08,P001,S06,WH4,Central,167,0,0,208,2,0.1321,88.22,1,Grocery,307.77,28,53,59,0.73,0.0,77096.385,0.0,6,5,2,2022,1,0
2022-05-09,P001,S06,WH4,South,119,250,119,186,26,0.1325,50.49,0,Grocery,307.77,28,53,59,0.73,36624.63,0.0,15.3885,0,5,2,2022,0,0
2022-05-10,P001,S06,WH4,South,127,123,123,75,13,0.025,24.13,1,Grocery,307.77,28,53,59,0.73,37855.71,1846.62,7.571142,1,5,2,2022,0,0
2022-05-11,P001,S06,WH4,West,156,0,0,11,13,0.0642,37.53,1,Grocery,307.77,28,53,59,0.73,0.0,72018.18,0.0,2,5,2,2022,0,0
2022-05-12,P001,S06,WH4,West,156,0,0,7,5,0.0067,53.14,1,Grocery,307.77,28,53,59,0.73,0.0,72018.18,0.0,3,5,2,2022,0,0
2022-05-13,P001,S06,WH4,Central,155,0,0,179,29,0.0169,81.84,1,Grocery,307.77,28,53,59,0.73,0.0,71556.525,0.0,4,5,2,2022,0,1
2022-05-14,P001,S06,WH4,East,222,0,0,105,21,0.0874,43.89,1,Grocery,307.77,28,53,59,0.73,0.0,102487.41,0.0,5,5,2,2022,1,0
2022-05-15,P001,S06,WH4,West,156,278,156,223,16,0.0086,89.8,0,Grocery,307.77,28,53,59,0.73,48012.119999999995,0.0,17.112012,6,5,2,2022,1,0
2022-05-16,P001,S06,WH4,East,167,111,111,33,13,0.019,21.11,1,Grocery,307.77,28,53,59,0.73,34162.47,25852.68,6.8324940000000005,0,5,2,2022,0,0
2022-05-17,P001,S06,WH4,West,163,0,0,238,15,0.1032,124.53,1,Grocery,307.77,28,53,59,0.73,0.0,75249.76499999998,0.0,1,5,2,2022,0,0
2022-05-18,P001,S06,WH4,South,157,0,0,4,20,0.0619,148.51,1,Grocery,307.77,28,53,59,0.73,0.0,72479.83499999999,0.0,2,5,2,2022,0,0
2022-05-19,P001,S06,WH4,Central,137,0,0,297,9,0.0084,146.71,1,Grocery,307.77,28,53,59,0.73,0.0,63246.735,0.0,3,5,2,2022,0,0
2022-05-20,P001,S06,WH4,East,159,0,0,188,31,0.0107,66.99,1,Grocery,307.77,28,53,59,0.73,0.0,73403.145,0.0,4,5,2,2022,0,1
2022-05-21,P001,S06,WH4,West,128,0,0,272,32,0.1003,140.49,1,Grocery,307.77,28,53,59,0.73,0.0,59091.84,0.0,5,5,2,2022,1,1
2022-05-22,P001,S06,WH4,East,138,229,138,87,1,0.0067,41.77,0,Grocery,307.77,28,53,59,0.73,42472.259999999995,0.0,14.095866000000001,6,5,2,2022,1,0
2022-05-23,P001,S06,WH4,North,133,96,96,224,11,0.2299,35.5,1,Grocery,307.77,28,53,59,0.73,29545.92,17081.235,5.909184,0,5,2,2022,0,0
2022-05-24,P001,S06,WH4,South,144,0,0,198,2,0.0525,18.52,1,Grocery,307.77,28,53,59,0.73,0.0,66478.31999999999,0.0,1,5,2,2022,0,0
2022-05-25,P001,S06,WH4,East,188,0,0,194,12,0.0083,141.87,1,Grocery,307.77,28,53,59,0.73,0.0,86791.13999999998,0.0,2,5,2,2022,0,0
2022-05-26,P001,S06,WH4,North,301,0,0,143,2,0.0609,37.81,1,Grocery,307.77,28,53,59,0.73,0.0,138958.15499999997,0.0,3,5,2,2022,0,0
2022-05-27,P001,S06,WH4,West,155,308,155,297,33,0.0533,36.71,0,Grocery,307.77,28,53,59,0.73,47704.35,0.0,18.958631999999998,4,5,2,2022,0,1
2022-05-28,P001,S06,WH4,Central,109,199,109,245,16,0.0111,149.55,0,Grocery,307.77,28,53,59,0.73,33546.93,0.0,12.249246,5,5,2,2022,1,0
2022-05-29,P001,S06,WH4,South,131,68,68,88,2,0.0307,9.04,1,Grocery,307.77,28,53,59,0.73,20928.36,29084.265,4.185672,6,5,2,2022,1,0
2022-05-30,P001,S06,WH4,South,162,0,0,225,20,0.028,76.43,1,Grocery,307.77,28,53,59,0.73,0.0,74788.11,0.0,0,5,2,2022,0,0
2022-05-31,P001,S06,WH4,South,141,0,0,158,14,0.0199,90.84,1,Grocery,307.77,28,53,59,0.73,0.0,65093.354999999996,0.0,1,5,2,2022,0,0
2022-06-01,P001,S06,WH4,West,118,0,0,124,24,0.0173,121.03,1,Grocery,307.77,28,53,59,0.73,0.0,54475.29,0.0,2,6,2,2022,0,0
2022-06-02,P001,S06,WH4,South,125,0,0,149,6,0.0579,81.19,1,Grocery,307.77,28,53,59,0.73,0.0,57706.875,0.0,3,6,2,2022,0,0
2022-06-03,P001,S06,WH4,Central,153,0,0,216,32,0.0502,5.16,1,Grocery,307.77,28,53,59,0.73,0.0,70633.215,0.0,4,6,2,2022,0,1
2022-06-04,P001,S06,WH4,East,124,245,124,186,5,0.0506,91.05,0,Grocery,307.77,28,53,59,0.73,38163.479999999996,0.0,15.080729999999999,5,6,2,2022,1,0
2022-06-05,P001,S06,WH4,West,143,102,102,86,14,0.0066,71.8,1,Grocery,307.77,28,53,59,0.73,31392.539999999997,18927.855,6.2785079999999995,6,6,2,2022,1,0
